User,Sentiment
26,26
"Hi, I want to buy a phone",Neu
"Yes, Phone should have good battery and memory.",Neu
What is its color?,Neu
oh ! But I am looking for silver color phone,Neg
What is its cost?,Neu
Ok book this one for me,Neu
Thanks for helping me.,Pos
27,27
"Hello, I want a reliable phone as I do most of my office work on phone.",Neu
"Yes, display size should be big and battery should lasts long as I travel a lot.",Neu
What is its weight?,Neu
"oh,that's a bit heavy. Can you suggest some other phone with light weight",Neg
Yes I understand your point but still I would prefer light weight phone,Neg
What is its color?,Neu
I will take it then,Neu
Thannks a ton. You have been very helpful.,Pos
28,28
"Hey, I want to buy a phone",Neu
I want to buy Paradise by HTC,Neu
How is the camera quality?,Neu
That's very good. What is its display screen size?,Neu
what is its color?,Neu
"oh, this color is not of my liking.I want it in blue.",Neg
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
29,29
"Hi, I am looking for a good phone",Neu
I want to buy Yoga Tab 3 Plus by Lenovo,Neu
I often listens to Radio. Radio also works on it right?,Neg
How is the battery life?,Neu
What is its color?,Neu
What is its cost?,Neu
Sorry I can't take this phone that's too costly for me. My budget is 400. ,Neg
ok can you book it for me,Neu
Thanks for help,Pos
30,30
I am in urgent need of a phone,Neu
I want a light weight phone with the internal RAM of 64 GB.,Neu
Sounds good. Does it has Radio jack?,Neu
"My bad luck,do you have some other brand phone with same feature?",Neg
Does it has DualSim?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
31,
I wanna buy a phone which fulfills all my requirements.,Neu
Camera should be excellent ,Neu
How much storage does it offer?,Neu
And how about the Primary Camera?,Neu
"Oh, that’s great. How much is the price?",Neu
"it's not that good, What other phones do you have if I want more storage?",Neg
How much storage does it offer?,Neu
How much is it for?,Neu
"Oh no, that’s very expensive, help me with a cost-effective phone which has got both good camera and good storage.",Neg
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
32,32
"Hey, I want to gift a phone to my brother",Neu
"yes, I want a big display size GPS operated phone ",Neu
What is its price?,Neu
Unfortunately that's too costly for me. Do you have something in less?,Neg
"Yes, but i can't spend that much on my phone",Neg
What is its color?,Neu
what is its weight?,Neu
It looks good. Please book it for me,Neu
Thanks for all your time.,Pos
33,33
"Good Evening, I am looking for a trending phone",Neu
 I need to have a phone that has high memory and good battery life.,Neu
What is its color?,Neu
Whta is its weight?,Neu
"Oh,that's a bit on heavier side. Do you have something in light weight?",Neg
Yeah but I don't find comfortable to keep heavy phone in my pocket ,Neu
What is its price?,Neu
"Okay, I will take this phone.",Neu
thanks a ton,Pos
34,34
"Hey, I want to buy a phone.",Neu
I want a tripel sim phone.,Neu
what is its camera quality?,Neu
What is its color?,Neu
I don't like black color. Do you have in some other color?,Neg
what is its cost?,Neu
"Okay, I will take this phone.",Neu
You are a very good salesman. Thanks a lot,Pos
35,35
I am looking for a good phone,Neu
I want a small display size phone with good memory,Neu
I want in black color.,Neu
What is its OS,Neu
I don't want android phone. ,Neg
My previous was Android. This time I want to try other OS,Neu
What color is it available in your store?,Neu
"Okay, I will book black phone",Neu
Thanks a lot.,Pos
36,36
"Good evening, I am looking for a good phone",Neu
I am looking for a blue color Samsung phone,Neu
What is its internal Ram storage?,Neu
I want a Samsung phone with more internal RAM space,Neu
But  I  am not comfortable with external memory card.,Neg
"Lovely, what is its cost?",Neu
Book it for me.,Neu
Thanks dear,Pos
37,37
"Hi, I am looking for a sturdy phone",Neu
"Hey, I am looking for a Samsung mobile",Neu
Yes I am sure. I want samsung phone only,Neu
oh I want in other than black,Neg
But Black is not favourite,Neg
What is its price?,Neu
What is its battery?,Neu
"Fine, i will take it.",Neu
Thanks a ton,Pos
38,38
"Good Evening, I want to buy a cell Phone",Neu
I want to buy a HTC phone,Neu
What is its battery?,Neu
What is its cost?,Neu
My budget is more. Do you have expensive phone with more benefits?,Neu
I am not interested in this phone. Higher priced phone will have more additional features with good operating system,Neg
What is its color?,Neu
I will take it.,Neu
I am very happy today. Thanks a lot ,Pos
39,39
"Hi, I want to buy a new phone.",Neu
I want 128 GB internal RAM phone.,Neu
What is its color?,Neu
"oh, I am not fond of silver color. Do you have in some other color.",Neg
True but somehow i have aversion towards silver color.,Neu
"Lovely, What is its color?",Neu
What is its price?,Neu
"Cool, I will take it.",Pos
Thanks a lot,Pos
40,40
"Hello, I am in urgent need of a good phone.",Neu
I don't have much requirement. Primary and secondary Camera quality is my primary focus.,Neu
What is its primary and secondary camera quality?,Neu
"oh, I take too many selfie so I want higher quality secondary phone i.e 16 MP+. ",Neg
True but my friend have suggested to go for phone with 16 MP+ secondary camera,Neu
What is its price?,Neu
I will buy it.,Neu
Thank you for your time,Pos
41,41
"Hi, I want to buy a phone",Neu
I want 2016 released HTC phone.,Neu
What is its cost?,Neu
I am looking for a phone which is less that 500 Euro,Neu
Yeah but I have limited money so can't afford it,Neg
I have no problem with the storage. I will buy U play.,Neu
Thanks a lot,Pos
42,42
"Hello, I am in search of  a good phone.",Neu
"No, It should be DualSim and GPS operated phone",Neu
"Great, what is its ReleasedYear and ReleasedMonth?",Neu
"oh, that's an old phone. Do you have 2017 released phone?",Neg
What is its cost?,Neu
What is its weight,Neu
"Okay, I like this phone. Pack it for me.",Neu
Thanks a lot for your time,Pos
43,43
"Hi, I want to buy a phone",Neu
"Actually, I am not restricted to any particular model but i need to have a phone that have high memory.",Neu
What is its internal RAM?,Neu
"Superb, What is its cost?",Neu
"Unfortunately, that's too costly for me. Do you have 128 GB internal memory phone with lower price?",Neg
What is its color?,Neu
I will take it.,Neu
Thanks a ton,Pos
44,44
"Hi, I am interested in buying a phone.",Neu
"Yes, it should be light weight and should have small screen",Neu
Is it a DualSim phone?,Neu
"Can you recommend  DualSim , light weight and small screen phone?",Neu
I am not interested in single sim phone. I require DualSim phone,Neg
What is its price?,Neu
Lovely it is under my budget. I will buy it.,Neu
Thank you so much,Pos
45,45
"Good Evening, I am in urgent need of a phone.",Neu
I don't have any specific mobile in my mind. Can you suggest me a latest phone,Neu
What is its memory?,Neu
What is its price?,Neu
But my budget is more around 800 Euro.  Can you suggest in higher range?,Neg
But I want in higher range ,Neu
What is its color?,Neu
"Lovely, I will buy it.",Pos
Thanks a ton,Pos
46,46
"Hello, I want a good phone.",Neu
I want an apple phone.,Neu
What is its price?,Neu
It is very costly. Do you have phone under 700 Euro?,Neg
But I can't go beyond 700 Euro,Neu
What is its color?,Neu
What is its internal RAM,Neu
I will take it .,Neu
Thanks a lot.,Pos
47,47
I wanna buy a phone which fulfills all my requirements.,Neu
Camera should be excellent and it should be in gold color,Neu
How much storage does it offer?,Neu
And how about the Camera?,Neu
Can you suggest a phone with 128 GB internal RAM,Neu
Sorry I can't buy this I need more storage,Neg
How much storage does it offer?,Neu
How much is it for?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
48,48
"hi, i am in need of a new phone",Neu
I want gps operated phone with more space,Neu
What is its Display_Size?,Neu
"oh, it is small.Do you have big display size phone?",Neg
what is its battery?,Neu
What is its color?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
49,49
"Hi, I want a phone.",Neu
I want to buy a Samsung phone,Neu
What is its camera quality?,Neu
"Oh it is too less, I want at least 20 MP Primary Camera",Neg
Still i would go for higher MP phone. Show me a phone in other brand,Neg
"Cool, what is its memory?",Neu
What is its cost?,Neu
"Cool, I will purchase it.",Pos
Thanks a lot,Pos
50,50
"Good Evening, I am looking for best smartphone",Neu
"Nothing in Particular, I want a 2017 released android phone which is heavily in demand",Neu
What is its color?,Neu
"oh,I can't maintain white color. Do you have in blue or black color?",Neg
I take your point but still I would go for  Black or Blue,Neg
What is its price?,Neu
What is its battery capacity?,Neu
Is it DualSim phone?,Neu
"Okay , i think i will buy it",Neu
Thanks a lot for helping me in choosing a good phone,Pos
51,51
I want a technologically advanced mobile phone,Neu
I want an apple phone that fits my budget,Neu
It should be under 650 Euro,Neu
What is its storage,Neu
That will not fulfill my need. I need a phone with more space at least 64 GB internal RAM,Neu
But I don't want to use memory slot. I am okay with other brand,Neg
What is its price?,Neu
I will take it,Neu
Thanks a lot for your help,Pos
52,52
"Hello , I want to buy a phone",Neu
"Yes, i need a GPS operated phone with less weight ",Neu
how much ?,Neu
whats is its battery?,Neu
"oh , but this is less",Neg
"Ok , can you please book it for me",Neu
Thank you ,Pos
53,53
"Hey, I need phone info.",Neu
It should be HTC company with light weight,Neu
"Yes, it should be  may 2017 released phone",Neu
What is its battery capacity ,Neu
Only 3000? Quite less Capacity.,Neg
"Ok,  Book it for me",Neu
"OK,Thanks for information.",Pos
54,54
I need to buy a phone.,Neu
Phone with good primary camera and high battery capacity,Neu
No thats all.,Neu
what about secondary camera ?,Neu
What is its Released Year?,Neu
"oh, but I want a 2017 released phone",Neg
But I want a new released phone with good camera and battery,Neu
what is it's both camera ? ,
It sounds great.,Pos
Ok can you book it for me?,Neu
Thanks for assistance.,Pos
55,55
"Good Evening, I am looking for a trending phone",Neu
 I need to have a phone that has less weight and good battery life.,Neu
What is its color?,Neu
Whta is its internal RAM?,Neu
oh that's too less. I want at least 64 GB internal RAM,Neg
Yeah but I am not comfortable with memory card ,Neu
What is its price?,Neu
"Okay, I will take this phone.",Neu
thanks a ton,Pos
56,56
"Good Evening, I am looking for a trending phone",Neu
 I need to have a phone that has high memory and good battery life.,Neu
What is its color?,Neu
Whta is its weight?,Neu
That's a bit on heavier side. Do you have something in light weight?,Neg
Yeah but I don't find comfortable to keep heavy phone in my pocket ,Neu
What is its price?,Neu
"Okay, I will take this phone.",Neu
thanks a ton,Pos
57,57
"Hello , can you help me in selecting a phone ?",Neu
I want a pink colored dualsim phone.,Neu
what is its camera quality?,Neu
What is its weight?,Neu
It's a bit heavy. I want lighter phone,Neu
But I don't feel comfortable carrying heavy phone,Neg
what is its cost?,Neu
"Okay, I will take this phone.",Neu
You are a very good salesman. Thanks a lot,Pos
58,58
"Hello, I am in search of  a good phone.",Neu
it should have big display and high memory.,Neu
"No,I want high memory phne",Neu
What is its Primary Camera?,Neu
Oh I need 16 MP or more camera phone,Neg
But still I would go for 16 MP+ camera phone,Neg
What is its cost?,Neu
What is its weight,Neu
"Okay, I like this phone. Pack it for me.",Neu
Thanks a lot for your time,Pos
59,59
"Hi, I want to buy a phone",Neu
It should be Samsung company and good memory,Neu
What is its memory?,Neu
"Superb, What is its cost?",Neu
"Unfortunately, that's too costly for me. Do you  phone with same specification at lower price?",Neg
That is good to know but can't afford it,Neu
What is its color?,Neu
I will take it.,Neu
Thanks a ton,Pos
60,60
"hi,can you help me in buying a phone ?",Neu
it should have good camera and battery capacity,Neu
how much does it cost ? ,Neu
what is it's color ? ,Neu
"oh , is it possible in Gold? ",Neg
but I like Gold,Neu
what is it's cost ? ,Neu
ok can you book it for me,Neu
Thanks for help,Pos
61,61
"hi, I want to buy a new phone",Neu
It should have OS android and dual sim features,Neu
"No, that's it",Neu
what is its cost?,Neu
what color is it?,Neu
"Oh, is it possible to get in white color?",Neg
but I would prefer in white,Neg
what's the price?,Neu
"Okay, Can you book it for me?",Neu
Thanks a lot ,Pos
62,62
"Hey, I am looking for a good phone",Neu
It should be 2017 released phone with good internal RAM memory and high primary camera quality,Neu
What is the price?,Neu
Does it has DualSim?,Neu
What is its released year?,Neu
What about the radio?,Neu
Oh but I often listen to Radio,Neg
But i would prefer radio feature in my new phone,Neg
What is the cost?,Neu
ok can you book it  for me,Neu
Thanks for help,Pos
63,63
"Hey, can you help me in buying a new phone?",Neu
I want to buy a grey color phone with good camera.,Neu
what is it's primary camera quality ?,Neu
Does it contain dual sim ? ,Neu
what is it's cost ? ,Neu
oh 300 is too costly for me. Can you suggest some other phone in cheaper price?,Neg
My budget restricts me to buy this phone,Neu
ok can you book it for me,Neu
Thanks a lot for your time,Pos
64,64
"Hello, I want to buy a new phone.",Neu
I want to buy a light weight phone with good camera quality ,Neu
What is its battery?,Neu
What color is it?,Neu
what is its released year?,Neu
What is its price?,Neu
I want in higher range. My budget is 400 plus,Neu
But I don't want to buy this phone I want in higher range.,Neg
What is its price?,Neu
ok I will take this phone,Neu
Thanks a lot for your time,Pos
65,65
"Hi, I want to buy a new phone.",Neu
I want 64 GB internal RAM phone.,Neu
What is its color?,Neu
"oh, I am not fond of Gunmetal color. Do you have in some other color.",Neg
