indexid,USER,AGENT,Persuasion Strategy,,
1,1,1,,,
1,"Good Morning, I would like to buy a smartphone.","Good Morning. We have varieties of smartphones available with us. Would you like to tell us about your preference, if you have any?",0,,
1,Do you have any suggestion as in which brand I should go for?,"Sure, LG is quite in demand these days. Do you have any specific specification?",5,,
1,Well yes. It should be a low budget phone i.e. within the range of 150 EUR.,"Alright. We have smartphones of some other brand as well, like Nokia and Asus. Would you like to explore any of those options?",5,,
1,"Well, I would rather go for LG, as per your previous suggestion.",We have LG stylus 2 in a very unique colour called Titan and it is within your budget. ,5,,
1,I require one more feature. I want a phone with a good battery.,Alright ! LG Stylus 2 has a massive 3000 mAh battery and it weighs 145 g. ,5,,
1,How much is it going to cost me?,"It will cost you 150 EUR . 
I would also like to add that it has internal 16 GB RAM, which is a plus point. ",5,,
1,It is perfect. Exactly what I wanted.,Do you want me to show some other products?,5,,
1,No. I would like to buy this one.,Here is your booking id - 2345**ABd,5,,
1,Thank you for your assistance.,You are welcome. ,5,,
2,2,2,,,
2,Hello. I am here to buy LG G5 but prior to that I would like to know more about the product.,"Hello, I will assist you. LG G5 has a 4 GB RAM and a dual camera as well. ",3,,
2,What about its battery capacity?,"It has a 2800 mAh battery. 
We have it available in silver colour which looks quite beautiful. ",3,,
2,Is this an android phone?,"Of course! It is one of the best phones in the market at the moment, released in 2016. ",3,,
2,I have a budget of 400 - 500 EUR.,"Well, this phone will only cost you 450 EUR. 
It has 32 GB internal RAM. ",3,,
2,Does this one has GPS system?,"Yes, it has GPS system installed in it. It also has built-in Radio system. ",3,,
2,Can you describe some of its other features?,The look is quite appealing and weighs just 156 g. Lightweight phones are in trend these days. ,3,,
2,Is there any offer or discount available with this product?,450 EUR is the discounted price. Just wanted to tell you that you have selected a perfect phone for you. ,3,,
2,I am glad. Please book it on my name.,Sure. Your booking id is 65687**qui.,3,,
2,"Its done. So, thank you for your assistance.",Welcome and please visit again.,3,,
3,3,3,,,
3,"Good Evening, can you help me buy a smartphone?","Good Evening. Sure, what kind of smartphonephone are you looking for ?",0,,
3,It should be a 4G phone with Dual Sim.,We have many phones with such specifications. Do you have any other requirements also?,4,,
3,I trust only Gionee Brand. Can you show me some from Gionee?,"Yes , I have Model A1 by Gionee. It has dual sim and 4 GB RAM.",4,,
3,What is its color?,It is available in color Black .,4,,
3,I want it in this color. https://www.maxbhi.com/images/thumbnails/400/400/detailed/2157/full_body_housing_for_zopo_color_f5_gold_maxbhi.com_95856.jpg,"Then you should buy the Model S6 Pro by Gionee , which is available in Gold color. It matches your requirements.",4,,
3,What are its other features?,"It contains dual sim slots, 4 GB RAM. It has also large display size.",4,,
3,"Ram is less, please see 8 GB RAM phone.",It is a dual sim 4G phone. The phone was released in 2016 by Gionee but it is still one of the most selling phones of Gionee brand.,4,,
3,What is its price?,Its price is approx 390 euro.,4,,
3,Will it click a good picture?,"Yes, it has 13MP primary camera and 8 MP secondary camera.",4,,
3,Okay it will do the job. Can you please do the billing? And please give some discount.,"Yes, it is discounted price.",4,,
3,"Okay then, please proceed billing.","Great, it has been booked for you with reference number 121578.",4,,
3,Thank you.,"You are most welcome, Thanks for buying from us.",4,,
4,4,4,,,
4,Hi. Would you mind if I ask few questions regarding a smartphone?,"Hi, sure. It would be great to assist you. Please let me know what kind of help do you require?",0,,
4,I want to buy a gift for my son. He is a budding Mobile photographer. I am looking for a good camera phone.,We have varieties of brand to suit your purpose. We have brands available like Oppo and Oneplus. Let us know your preference. ,2,,
4,I don't have much idea about phones. I would rather go for your suggested brand.,That is ok. I would recommend you to go with Oneplus but it would be better if you let me know your budget beforehand. ,2,,
4,Money is not an issue. The product has to be worth the price.,Absolutely. Oneplus 3T will be a good choice. It has 16 mp rear and back camera. Do you have any other specification preference?,2,,
4,It should to be black in colour. My son will love that.,"We have it in Gunmetal colour, youngsters call it new black. It is trending in the market. ",2,,
4,I'm not very sure. He likes black all the time.,Okay. Then please see Nokia N900. It is available in the colour you have asked for. ,2,,
4,What are the features?,This phone was released in 2009. It has 32 internal ram. It is a light-weighted phone. ,2,,
4,"Yeah, That is going to do. Go ahead, book it for me.","Sure, is there anything else I could assist you with?",2,,
4,"No, thanks for now.",Booking done. ,2,,
4,Thank you for your assistance.,You are welcome,2,,
5,5,5,,,
5,Good morning. I am looking for a micromax smartphone.,Good morning. Can you tell me about some features that you are looking for?,0,,
5,"Yes, it must have more than 2 GB RAM.",I have 3 phones with that specification. ,3,,
5,Okay show me one by one.,This is Micromax Canvas Evok Note E453 with 3 GB RAM. Do you like it?,3,,
5,It's impressive. Show me the other two also.,This is Micromax Canvas Pulse 4G E451 with 3 GB RAM and this is Micromax Canvas Silver 5 Q450 with 2 GB RAM. ,3,,
5,The 2 GB RAM is not ok.,Then have a look at the other two. ,3,,
5,I'm a bit confused between both.,If you would like then I can show you through pictures. ,3,,
5,Canvas Evok Note have a better performance. What is it's battery size?,It has a 4000mAh battery. Also it has all the latest feature at the cost of just 140 EUR. ,3,,
5,What is the cost of the other one?,It will cost you around 130 EUR. ,3,,
5,Okay then proceed for booking this one for me.,Sure. ,3,,
5,Thanks.,Welcome,3,,
6,6,6,,,
6,Good morning.,Good morning. How can I help you?,0,,
6,I'm looking for a phone with windows operating system.,Can you please tell me your budget?,4,,
