USER,INTENT,Slot-Value,Value,B-I-O Tag
1,,,,
Hello and good morning. Could you kindly assist me in purchasing a laptop?,LaptopSelReq,NA,NA,O O O O O O O O O O O O O
I'm looking for a cheap i7 cpu.,Inform,Processor-i7,i7,O O O O O B-Processor O
I used a HP laptop earlier. It was quite nice.,Feedback,Brand-HP,HP,O O O B-Brand O O O O O O
I am just a normal user. I would not spend more than 2400.,Inform,Cost-2400,2400,O O O O O O O O O O O O B-Cost
Is this a good laptop for daily use?,FeedbackReq,NA,NA,O O O O O O O O
Please describe the features to me.,Request,Feature-UNK,UNK,O O O B-Feature O O
I don't think 620 graphics would perform well.,Feedback,GPU-620 graphics,620 graphics,O O O B-GPU O O O O
I still doubt it will work for me or not.,Feedback,NA,NA,O O O O O O O O O O
"Okay, I am trusting you. I would like to buy it.",BookingReq,NA,NA,O O O O O O O O O O O
I want to buy a smartphone too?,PhoneSelReq,NA,NA,O O O O O O O
I want something like this. https://m.media-amazon.com/images/I/81pVQueeahL._AC_SY550_.jpg,Inform,NA,NA,O O O O O O
Please describe the features to me.,Request,Feature-UNK,UNK,O O O B-Feature O O
Is it in black color? Because I like black.,Request,Colour-BLACK,BLACK,O O O B-Colour O O O O B-Colour
What about the cost ?,Request,Cost-UNK,UNK,O O O B-Cost
It is quite expensive.,Feedback,NA,NA,O O O O
No No. I cannot afford it today.,Reject,NA,NA,O O O O O O O
No. I cannot afford it. I will just take the laptop.,Reject,NA,NA,O O O O O O O O O O O
"No, I will buy it next time.",Reject,NA,NA,O O O O O O O
"No, Thankyou for assistance.",Gratitude,NA,NA,O O O O
2,,,,
Hello there! I'd like to purchase a laptop.,LaptopSelReq,NA,NA,O O O O O O O O
"Yes, HP 14-cf0007nx is what I'm looking for. Do you have them?",Request,"Brand-HP,
Model-14-cf0007nx","HP,
14-cf0007nx",O B-Brand B-Model O O O O O O O O O
