USER,Persuasion Strategy
1,
Hello and good morning. Could you kindly assist me in purchasing a laptop?,0
I'm looking for a cheap i7 cpu.,0
I used a HP laptop earlier. It was quite nice.,0
I am just a normal user. I would not spend more than 2400.,4
Is this a good laptop for daily use?,4
Please describe the features to me.,4
I don't think 620 graphics would perform well.,4
I still doubt it will work for me or not.,4
"Okay, I am trusting you. I would like to buy it.",4
I want to buy a smartphone too?,4
I want something like this. https://m.media-amazon.com/images/I/81pVQueeahL._AC_SY550_.jpg,4
Please describe the features to me.,4
Is it in black color? Because I like black.,4
What about the cost ?,4
It is quite expensive.,4
No No. I cannot afford it today.,4
No. I cannot afford it. I will just take the laptop.,4
"No, I will buy it next time.",4
"No, Thankyou for assistance.",4
2,
Hello there! I'd like to purchase a laptop.,0
"Yes, HP 14-cf0007nx is what I'm looking for. Do you have them?",0
It should be i5-8250U processor having an Intel Core. Could you tell me some other specifications?,3
"How much graphics does it have? Because I do a lot of gamming, I need higher graphics processing capacity.",3
"Okay, just tell me how much it costs.",3
Woah! This is priced like gold.,3
I still don't believe this price justifies this model because the specs dosen't match this caliber of price tag.,3
Is there any discount available?,3
Fine! I would like to buy this. Kindly book my order and deliver it ASAP,3
Do you have smartphones also? If yes then show me that too.,3
"Yes,  https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg is the picture. Do you have this?",3
Please describe the features to me.,3
Yes! Let me know the cost of the smartphone.,3
Yeah! Book both products for me.,3
Sure ! thankyou.,3
3,
Hello and good evening.,0
I'd like to ask you a question about a smartphone.,0
Right now I'm not sure which model it is.,0
"Yes, It has a main and secondary camera with a resolution of 16 megapixels.",3
It is gold in colour. Will it be of assistance?,3
"I have an image of the phone, if it is helpful then I can share the image.",3
"Here it is 
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.in%2FVivo-Gold-64GB-Without-Offers%2Fdp%2FB07CQ3WV3C&psig=AOvVaw29_QuGYFkfgh64BUXuiY5f&ust=1634983556250000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLCp1sPi3fMCFQAAAAAdAAAAABAE",3
I had Vivo phones before. They are really nice. Can you please tell me its features?,3
That's good. How much does it cost?,3
Oops! It is seems expensive.,3
I doubt if it can be a good value for money.,3
I don't think I can afford this phone right now. I will save some money for this and come later.,3
"No, Thankyou for now. I will wait till I save some cash.",3
Yeah. Thank you so much.,3
4,
Hello and good morning. I'd like to purchase a mobile with a head-turning effect on everyone.,1
I have no budget limitation. Show me a premium one.,1
"I've tried Samsung, but it lacks the head-turning effect.",1
Which is the most recent iPhone in the market?,1
Which one is the latest?,1
Please tell me about the features of the phone.,1
Just 3 GB of RAM! How can this be a premium phone?,1
What colour choices do you have available?,1
Great. Please book one for me.,1
"Okay, Thank you so much.",1
5,
"Hello, Good morning.",0
I would like to buy a decent camera.,0
It should be a Nikon camera .,1
It should be upto 100 EUR and should be released in 2007. Because previously I was using the same.,1
"This time I want a camera with Night vision, my previous one doesn't have that feature.",1
Can you explain its features?,1
What is its zoom range?,1
"Yes, tell me about the battery. I don't want heavy camera.",1
"Without a doubt, this camera is a safer choice. How much does it costs?",1
"That's great, book one for me.",1
"Okay, thankyou for your service.",1
6,
Hi there.,0
I've come to purchase a smartphone.,0
I want my smartphone to be up to 500 EUR. Is there any within this price range?,0
Only Vivo has my confidence. It is an excellent camera phone.,4
I decided to research on mobile photography. I figured it would make a nice option.,4
"Okay, That will be wonderful.",4
Would you please mind elaborating some more of its features?,4
It seems good. Is there a GPS?,4
And what colours does it come in?,4
Do you have black in option?,4
But i want my phone in black colour.,4
I haven't used this colour before. Are you sure it will look good?,4
"Okay then, Please book one for me.",4
"No that's it, Thank you for your service.",4
7,
"Hi, Good Morning.",0
Can you recommend a decent phone for me?,0
I have no specific brand in my mind. The phone's price should be upto 500 EUR and have some decent features.,0
It should be a dual sim port and 4 GB of RAM. Because I play a lot of games on my phone.,3
Yes. What is its battery capacity?,3
That will not be sufficient. I want battery capacity to be at least 7000 mAh.,3
"See, I know how long I use my phones. I bet it will not last that long at least in my case.",3
Tell me more features of it.,3
What about the weight and storage of the phone?,3
Can you do me a favour? It should be either in gold or in silver.,3
How much does it cost?,3
It is a little expensive. I have budget of 500 only.,3
"Yes, I get it. But I am doubtful about the phone's overall performance.",3
Okay. Kindly book it for me.,3
"No, that's it. Thank you so much for your support.",3
8,
Hello and good afternoon.,0
I want to purchase a camera.,0
Nikon is my preferred camera. I hope it is available.,3
"No, Right now there is no specific model in my mind.",3
"Yes, please bring me something in the vicinity of 200 EURO.",3
"However, the resolution isn't great. Show me the one with better resolution.",3
What is it's zoom range?,3
That's excellent. Would it be convenient for users while travelling.,3
How much will it cost?,3
It is out of my budget.,3
Is there any discount available?,3
Okay. I'm glad you have told me about this.,3
"Yes, Please make a reservation for me.",3
Thank you for your assistance.,3
9,
Hello there!,0
"Yesterday, someone stole my laptop.",4
I'd like to purchase a laptop.,4
Actually my previous laptop was of Asus. Do you have any?,4
Yeah! It should be under 450 EUROS.,4
That's fantastic. What is the size of the central memory?,4
"So, how much wiil it cost?",4
That's fine. In which colour does it come?,4
"No, I want it in black colour.",4
Actually my previous one was of black colour.That's why I want this also to be in black.,4
Are you sure that it will look good?,4
Okay! Then book it for me.,4
"No,Thank you so much.",4
10,
Hello there. If you have a few moments to spare?,0
I want to purchase a phone.,0
Do you own a Sony Xperia XZ Premium?,3
I did a lot of research on it. It was beneficial.,3
"No, it's Okay!. As I previously said, I am fully knowledgeable.",3
"Yes, please let me know how much it will cost.",3
Oops! I Wanted to buy it but unfortunately it is out of my budget. Is there any discount available?,3
Show me some other phone which is under the price range of 500 EUR. And it should have a 3000 mAh battery.,3
Okay Sure. Please recommend a decent phone for me.,3
That's fantastic. Isn't it going to be pricey?,3
You are right. Please book it for me.,3
Thank you for your assistance,3
11,
"Hello there, Good Morning. I've come to purchase a laptop.",0
"15-da0035nx, 15-da0035nx, 15-da0035n That is the name of the model.",4
"Yes, it is an HP product. I used to have one like this which is now misplaced.",4
That's great. Let it aside for now. This is something I'm interested in purchasing. How much does it cost?,4
Okay. If you have a phone as well?,4
I would like to have Gionee's A1 Plus.,4
"Would you please elaborate its features? It is used by a friend of mine, but I am unaware of it.",4
Is there enough space for two SIM cards?,4
That's fantastic. I like listening to the radio. In which color is it available?,4
Is it available in black colour?,4
Are you sure it will look good?,4
What is the weight of the phone?,4
How much does it cost?,4
That's incredible—so many wonderful things in such a small package.,4
"Yes, Please make the reservation.",4
Thank you so much.,4
12,
"Hello, Good Evening.",0
I'd like to purchase a phone.,0
Do you have a HTC U11?,4
In which color does it come?,4
"No, actually I want it in black colour.",4
"Okay, sure.",4
Any shade of black would suffice. Please elaborate its features.,4
"Wow, that is incredible. Does it have two sim slots? What is it's display height?",4
Has it a GPS system.,4
How much does it cost?,4
Oops! It is out of my budget.,4
"Still, I can't afford it. Is there any way to get a discount?",4
"Okay, that's it. Please make a reservation for me.",4
"No, that's it. Thank you so much.",4
13,
Good morning . I'd like to purchase a smartphone that should be released between 2015 and 2017.,0
I'm looking for a  phone with 4 GB  RAM. It should be in black colour and in the range of 200 EUR.,3
Please elaborate its features.,3
Excellent! How much does it cost?,3
"Wow, that was under my budget. For the first time, I heard the BLU name. Is this a reputed brand?",3
Okay then pack it for me.,3
"Yes, I'd like to buy a laptop as well.",3
"Yes, I'd like an Intel Core i3-7020U processor with a 1TB hard drive.",3
How much does it cost?,3
Okay. Please book it as well.,3
Thank you so much.,3
14,
"Hello, could you please assist me in selecting a compatible smartphone?",0
Please recommend a decent smartphone brand suitable to me.,0
My brother praised about the quality of  HTC smartphones. please show me only HTC smartphones.,2
NO but I want the HTC smartphone to keep my brother memories in my heart. Also I want 4GB of ram and a good camera .,2
Could you please elaborate  the features?,2
"This one is good, but I need a better main Camera Phone which will help me to take good selfies of my daughter.",2
"Yes, 16MP seems to be a reasonable choice. How much will it cost?",2
Is it possible to have it in black?,2
"Yes, please make it in my order sections.",2
"I want to buy one more new phone, which does not seems like a valuable smartphone.",2
I will use it to make phone calls.,2
"It should be a Windows phone, not a smartphone.",2
"Sure, I'll go along with it. Please make a reservation for this one as well.",2
"Not now, Thank You.",2
15,
"Hello there, I've come to purchase a mobile.",0
I saw a mobile advertisement in the newspaper a few days ago. I'm curious if you have it.,4
"No, I don't recall the name, but I have an image which was available in the newspaper. https://drop.ndtv.com/TECH/product_database/images/6142017123101PM_635_htc_desire_628_dual_sIM.jpeg",4
How much will it cost?,4
It is out of my budget. Do you have any other smartphones that are close to the HTC U Ultra and under the range of 500 EUROS.,4
Yeah! what about the HTC 10 evo's features?,4
What is the internal storage capacity of this phone?,4
"No, I dont think it will sufficient!",4
Are you selling it in gold or platinum?,4
Okay. Please make a reservation for me.,4
Thank you so much for your support.,4
16,
Hello there. I'd like to purchase an Apple tab.,0
"Yes, for office work, I need a strong tab with cellular feature. Also having a strong battery backup is important for me.",1
Give me one with atleast 4000 mAh of battery. I think that would be suffecient.,1
What is the screen size?,1
What operating system does it come with?,1
Dose it support cellular feature?,1
